nombre_instituciòn ,esc_fac,id,revista ,posgrado ,ent_fed,region ,modalidad ,financiamiento ,tipo ,tipo_2,lug_ofer,sol_prim_ing_h,sol_prim_ing_m,sol_prim_ing_t,prim_ing_h,prim_ing_m,prim_ing_t,mat_h,mat_m,mat_t,egre_h,egre_m,egre_t,tit_h,tit_m,tit_t
UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,FACULTAD DE HUMANIDADES Y CIENCIAS SOCIALES,UABC_FHyCS,sin_revista ,posgrado ,BAJA CALIFORNIA,noroeste ,escolarizada,estatal ,soc_general ,soc_general ,12,33,26,59,33,26,59,76,84,160,5,26,31,9,23,32
UNIVERSIDAD AUTÓNOMA BENITO JUÁREZ DE OAXACA,INSTITUTO DE INVESTIGACIONES SOCIOLÓGICAS,UABJO_IIS,sin_revista ,posgrado ,OAXACA,suroeste ,escolarizada,estatal ,soc_rural,soc_esp,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,1
UNIVERSIDAD AUTÓNOMA DE CHIAPAS,FACULTAD DE CIENCIAS SOCIALES CAMPUS III,UACh_FCS,revista ,posgrado ,CHIAPAS,suroeste ,escolarizada,estatal ,soc_general ,soc_general ,25,14,11,25,9,10,19,51,53,104,6,11,17,7,8,15
UNIVERSIDAD AUTÓNOMA DE CIUDAD JUÁREZ,INSTITUTO DE CIENCIAS SOCIALES Y ADMINISTRACIÓN UACJ,UACJ_ICSyA,revista ,posgrado ,CHIHUAHUA,noroeste ,escolarizada,estatal ,soc_general ,soc_general ,13,11,14,25,6,7,13,30,29,59,3,6,9,2,6,8
UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,UACoah_FCPyS ,sin_revista ,posgrado ,COAHUILA,noreste,escolarizada,estatal ,soc_general ,soc_general ,11,4,7,11,4,7,11,14,22,36,0,7,7,2,3,5
UNIVERSIDAD AUTÓNOMA DEL ESTADO DE HIDALGO,INSTITUTO DE CIENCIAS SOCIALES Y HUMANIDADES (ICSHU),UAEH_ICSyHU,sin_revista ,posgrado ,HIDALGO,oriente ,escolarizada,estatal ,soc_general ,soc_general ,30,13,16,29,10,14,24,33,43,76,6,14,20,5,7,12
UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,UAEM_FCPyS,revista ,posgrado ,MÉXICO,centrosur ,escolarizada,estatal ,soc_general ,soc_general ,0,0,0,0,0,0,0,6,10,16,4,13,17,4,3,7
UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,UAEM_FCPyS_Mix,revista ,posgrado ,MÉXICO,centrosur ,mixta,estatal ,soc_general ,soc_general ,33,23,28,51,15,18,33,43,61,104,0,0,0,0,0,0
UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,CENTRO UNIVERSITARIO UAEM ZUMPANGO,UAEM_Zump,revista ,posgrado ,MÉXICO,centrosur ,escolarizada,estatal ,soc_general ,soc_general ,0,0,0,0,0,0,0,0,4,4,10,11,21,10,13,23
UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,CENTRO UNIVERSITARIO UAEM ZUMPANGO,UAEM_Zump_Mix,revista ,posgrado ,MÉXICO,centrosur ,mixta,estatal ,soc_general ,soc_general ,100,14,24,38,12,21,33,36,68,104,0,0,0,0,0,0
